Model,Accuracy,Precision,Recall,F1
RF,0.7232142857142857,0.7111178235667105,0.7217348927875243,0.7119210449072465
DTC,0.7142857142857143,0.7226760280690593,0.7151559454191032,0.6983315065156498
KNN,0.7098214285714286,0.7056109265411591,0.706140350877193,0.7003527336860671
LR,0.6875,0.6818257016153254,0.685428849902534,0.6834719402461338
SVC,0.6651785714285714,0.6567309077290928,0.6661793372319688,0.6433062957997907
Ridge,0.6607142857142857,0.6640644966994684,0.6581384015594541,0.6600478923210176
NB,0.45089285714285715,0.46016997261737796,0.4434697855750487,0.3855031960394297
